abalone,[ˌæbəˈloʊni],n.[动]鲍鱼(软体动物)
capitalist,[ˈkæpɪtəlɪst],a.资本主义的.n.资本家
capsize,[ˈkæpsaɪz],v.(特指船)倾覆
captain,[ˈkæptɪn],"n.首领, 船长.v.率领"
captivate,[ˈkæptɪveɪt],"vt.迷住, 迷惑"
capture,[ˈkæptʃər],"n./v.捕获,俘获,夺取"
caput,['kepət],"n.头, 首,"
car,[kɑːr],"n.汽车,(火车)车厢"
caravan,[ˈkærəvæn],"n.旅行队,商队, 大篷车"
carbohydrate,[ˌkɑːrboʊˈhaɪdreɪt],"n.碳水化合物,醣类"
carbon,[ˈkɑːrbən],"n.碳,复写纸"
carbonate,[ˈkɑːrbənət],n.碳酸盐 
carbonic,[kɑr'bɑnɪk],a.(含)碳的
carboniferous,[ˌkɑːrbəˈnɪfərəs],n.石炭层 
carbonization,,n.碳化(物)
carcass,[ˈkɑːrkəs],"n.(屠宰后)畜体,尸体"
card,[kɑːrd],"n.纸牌, 卡片"
cardboard,[ˈkɑːrdbɔːrd],n.纸板
cardiac,[ˈkɑːrdiæk],"n.强心剂.a.心脏的, (胃的)贲门的"
cardinal,[ˈkɑːrdɪnl],".a.主要的, 最重要的.n.基数"
care,[ker],"n./v.关心,担忧,照顾"
career,[kəˈrɪr],"n.事业,生涯"
careful,[ˈkerfl],"a.小心的,仔细的"
careless,[ˈkerləs],"a.粗心的, 疏忽的,无忧无虑的"
carelessly,[ˈkerləsli],"ad.粗心地,疏忽地"
cargo,[ˈkɑːrɡoʊ],"n.船货,货物"
Caribbean,"[ˌkærɪˈbiːən,kəˈrɪbiən]",n.加勒比海
caribou,[ˈkærɪbuː],n.北美产驯鹿(=Rangifer)
carman,['kɑrmən],"n.车夫,司机"
carnation,[kɑːrˈneɪʃn],"n.荷兰石竹, 康乃馨, 粉红色"
carnival,[ˈkɑːrnɪvl],"n.狂欢节, 饮宴狂欢"
carnivore,[ˈkɑːrnɪvɔːr],n.食肉动物 
carnivorous,[kɑːrˈnɪvərəs],"a.食肉的, 肉食性的"
carol,[ˈkærəl],"n.颂歌, 欢乐的歌"
carpenter,[ˈkɑːrpəntər],n.木匠
carpet,[ˈkɑːrpɪt],n.地毯
carriage,[ˈkærɪdʒ],"n.马车, 客车"
carrier,[ˈkæriər],"n.运送者, 载体"
carrot,[ˈkærət],n.胡萝卜
carry,[ˈkæri],"vt.提,运送,携带"
cart,[kɑːrt],"n.大车,手推车"
carton,[ˈkɑːrtn],"n.硬纸盒, 纸板箱"
cartoon,[kɑːrˈtuːn],"n.漫画,卡通画"
carve,[kɑːrv],"v.雕刻,切割"
carver,['kɑrvɚ],n.雕刻匠
carving,[ˈkɑːrvɪŋ],n.雕刻(品)
cascade,[kæˈskeɪd],"n.小瀑布.v.瀑布似地落下, （将 ... ）连结"
case,[keɪs],"n.事例,情形"
case,[keɪs],n.案例
cash,[kæʃ],n.现金.vt.兑现
cast,[kæst],"v.投, 抛"
caste,[kæst],n.印度的世袭阶级
cast-iron,[ˌkæst ˈaɪərn],"n.[材] 铸铁,生铁,锻铁"
casual,[ˈkæʒuəl],"a.偶然的, 不经意的,便装的"
cat,[kæt],n.猫
catalog,['kætəlɔg],n.目录.v.编目录
catalogue,[ˈkætəlɔːɡ],"n.目录,（美）大学情况一览"
catalyst,[ˈkætəlɪst],"n.催化剂,刺激因素"
catalyze,"['kætə,laɪz]","vt.催化, 刺激, 促进"
catastrophe,[kəˈtæstrəfi],n.大灾难
catastrophic,[ˌkætəˈstrɑːfɪk],"a.悲惨的, 灾难的"
catch,"[kætʃ,ketʃ]","v.捕获,抓住,领会"
catchment,['kætʃmənt],"n.排水,集水"
cate,[ket],"n.佳肴, 美食"
catechism,[ˈkætəkɪzəm],"n.问答教学法, 问答集"
categorically,[ˌkætəˈɡɔːrɪkli],"ad.断然地, 明确地"
categorize,[ˈkætəɡəraɪz],"v.加以类别, 分类"
category,[ˈkætəɡɔːri],"n.种类,分类,范畴"
cater,[ˈkeɪtər],"vi.迎合,提供饮食及服务"
caterpillar,[ˈkætərpɪlər],n.毛虫
catharsis,[kəˈθɑːrsɪs],"n.宣泄,净化"
cathedral,[kəˈθiːdrəl],n.大教堂
cattle,[ˈkætl],"n.牛,家养牲畜"
caucasian,[kɔːˈkeɪʒn],"n.高加索人 .a.高加索的, 白种人的"
causal,[ˈkɔːzl],a.原因的
cause,[kɔːz],"vt.引起,使(发生).n.原因,目标"
cause,[kɔːz],"vt.引起,使发生.n.原因,事业,目标"
cautious,[ˈkɔːʃəs],"a.谨慎的, 小心的"
cavalry,[ˈkævlri],n.骑兵
cave,[keɪv],"n.洞穴.v.塌落,使凹陷"
cavendish,['kævəndɪʃ],"n.(一种压成饼状的)板烟, 烟草饼"
cavern,[ˈkævərn],"n.洞穴,大山洞"
cavity,[ˈkævəti],"n.洞, 空穴"
cease,[siːs],"v.停止,终了"
cedar,[ˈsiːdər],n.雪松
ceiling,[ˈsiːlɪŋ],"n.天花板, 上限"
celebrate,[ˈselɪbreɪt],"v.庆祝, 祝贺"
celebration,[ˌselɪˈbreɪʃn],"n.庆祝, 庆典"
celebratory,[ˈseləbrətɔːri],"a.快乐的,庆祝的"
celebrity,[səˈlebrəti],"n.名声,名人"
celestial,[səˈlestʃl],"a.天上的.n.神仙,中国人"
cell,[sel],"n.单元,细胞,单人小室"
cellar,[ˈselər],"n.地窖, 地下室"
cellist,[ˈtʃelɪst],n.大提琴演奏家
cellular,[ˈseljələr],"a.细胞组成的,多孔的"
cellulose,[ˈseljuloʊs],"n.纤维素,（植物的）细胞膜质"
celsius,[ˈselsiəs],a.摄氏的
cement,[sɪˈment],"n.水泥,接合剂.v.接合,粘牢"
cementation,[ˌsiːmenˈteɪʃn],n.粘固
cenote,[sɪ'notɪ],n.天然井
cenotes,[sɪ'notɪ],n.天然井
cenozoic,,"n.新生代,新生代之岩层.a.新生界的"
census,[ˈsensəs],n.人口普查
cent,[sent],"n.(货币单位)分, 分币"
center,[ˈsentər],"n./a.中心(的).v.居中,使集中"
centigrade,[ˈsentɪɡreɪd],a.摄氏的
centimeter,"['sɛntə,mitɚ]",n.厘米
central,[ˈsentrəl],"a.中心的,主要的,重要的"
centrality,[senˈtræləti],"n.中心, 中央,向心性"
centralization,[ˌsentrələˈzeɪʃn],"n.集中, 中央集权化"
centralize,[ˈsentrəlaɪz],"v.集聚, 集中"
centrally,[ˈsentrəli],"ad.在中心, 在中央"
century,[ˈsentʃəri],"n.百年,世纪"
ceramic,[səˈræmɪk],a.陶器的.n.陶瓷制品
cereal,[ˈsɪriəl],n.谷类食品
cerebral,"[səˈriːbrəl,ˈserəbrəl]","a.脑的, 大脑的"
ceremonial,[ˌserɪˈmoʊniəl],n.仪式.a.正式的
ceremony,[ˈserəmoʊni],"n.典礼,仪式"
certain,[ˈsɜːrtn],"a.确定的,特定的.pron.某几个,某些"
certainty,[ˈsɜːrtnti],"n.确定, 确实的事情"
cessation,[seˈseɪʃn],"n.停止,中断,中止"
cetacean,[sɪˈteɪʃn],n.鲸类动物
chafe,[tʃeɪf],"v.(将皮肤等)擦热, 使恼火"
chain,[tʃeɪn],"n.链(条),一连串,一系列.vt.用链条栓住"
chair,[tʃer],"n.椅子,主席.vt.担任主席"
chalk,[tʃɔːk],n.粉笔
chalky,[ˈtʃɔːki],a.白垩的
challenge,[ˈtʃælɪndʒ],n./v.挑战
challenger,[ˈtʃælɪndʒər],n.挑战者
chamber,[ˈtʃeɪmbər],"n.室, 会议厅"
champagne,[ʃæmˈpeɪn],n.香槟酒
champion,[ˈtʃæmpiən],"n.拥护者.vt 拥护, 支持"
chance,[tʃæns],"n.机会,可能性.vi.碰巧发生.vt.冒…的险"
chandler,[ˈtʃændlər],n.杂货零售商
change,[tʃeɪndʒ],"v.改变.n.变化,零钱,兑换"
changeable,[ˈtʃeɪndʒəbl],"a.可改变的,无常的"
changeover,[ˈtʃeɪndʒoʊvər],"n.转换, 大变更"
channel,[ˈtʃænl],"n.[常pl.]通道,渠道"
chant,[tʃænt],n.圣歌
chaos,[ˈkeɪɑːs],"n.混乱,紊乱"
chaotic,[keɪˈɑːtɪk],"a.混乱的, 无秩序的"
chaotically,[keɪˈɑːtɪkli],"ad.浑沌地,混乱地"
chapbook,"['tʃæp,bʊk]",n.畅销故事书
chapbook,"['tʃæp,bʊk]",n.小本的诗歌集或故事书
chapel,[ˈtʃæpl],n.小教堂
chapter,[ˈtʃæptər],"n.(书籍)章,回"
char,[tʃɑːr],vt.烧焦.n.碳
character,[ˈkærəktər],"n.特征,品质,符号,汉字"
characteristic,[ˌkærəktəˈrɪstɪk],"n.特性,特征.a.特有的,典型的"
characterization,[ˌkærəktərəˈzeɪʃn],"n.描述, 人物之创造"
characterize,[ˈkærəktəraɪz],vt.以…为特征
charcoal,[ˈtʃɑːrkoʊl],n.木炭
charge,[tʃɑːrdʒ],"v.指控,收费,充电,冲刺"
chariot,[ˈtʃæriət],n.战车
charitable,[ˈtʃærətəbl],"a.慈善事业的,慷慨的,仁慈的"
charm,[tʃɑːrm],"n.吸引力, 魅力,护身符.v.使陶醉"
chart,[tʃɑːrt],n.图表.vt.制图
charter,[ˈtʃɑːrtər],.vt.租.n.宪章
chary,[ˈtʃeri],"a.小心的,审慎的"
chase,[tʃeɪs],"vt.追赶, 追逐"
chaste,[tʃeɪst],"a.贞洁的, 朴素的"
chateau,[ʃæˈtoʊ],"n.城堡,别墅"
cheap,[tʃiːp],"a.便宜的,不值钱的"
cheapen,[ˈtʃiːpən],"v.减价, 跌价,贬低"
cheaply,[ˈtʃiːpli],"ad.廉价地,粗俗地"
cheater,['tʃitɚ],"n.骗子, 欺诈者, 背叛者"
check,[tʃek],"v.检查.n.核对,支票"
cheep,[tʃiːp],"n.吱吱的叫声 
v.吱吱地叫"
cheer,[tʃɪr],"n./.v.欢呼,振奋"
cheerful,[ˈtʃɪrfl],"a.愉快的, 高兴的"
cheerless,[ˈtʃɪrləs],a.不快活的
cheese,[tʃiːz],n.干酪
chemical,[ˈkemɪkl],a.化学的.n.化学制品
chemically,[ˈkemɪkli],"ad.用化学, 以化学方法"
chemist,[ˈkemɪst],"n.化学家, 药剂师"
chemistry,[ˈkemɪstri],n.化学
chemurgy,['kɛmɝdʒi],"n.[化]农业化工,实用化学"
cherish,[ˈtʃerɪʃ],"vt.珍爱, 怀抱(希望等)"
cherry,[ˈtʃeri],n.樱桃
chest,[tʃest],"n.胸腔,橱,箱子"
chew,[tʃuː],"v.咀爵,咬"
chic,[ʃiːk],"a.别致的, 时髦的 "
Chicago,[ʃɪ'kɑɡo],n.芝加哥
chick,[tʃɪk],n.小鸡
chicken,[ˈtʃɪkɪn],"n.小鸡,鸡肉"
chicopee,,n.奇科皮（美国马萨诸塞州西南部城市）
chief,[tʃiːf],"n.首领.a.主要的, 首要的"
chiefly,[ˈtʃiːfli],"ad.首要,主要地"
chihuahua,[tʃɪˈwɑːwə],n.吉娃娃(一种产于墨西哥的狗)
child,[tʃaɪld],"n.孩子,产物"
childhood,[ˈtʃaɪldhʊd],n.孩童时期
childless,[ˈtʃaɪldləs],a.无儿女的
child-oriented,,a.以孩子为导向的
Chile,[ˈtʃɪli],n.智利
chill,[tʃɪl],vt.使变冷(冷冻).n.寒冷
chilly,[ˈtʃɪli],a.寒冷的
chimney,[ˈtʃɪmni],"n.烟囱, 灯罩"
chimp,[tʃɪmp],n.(非洲)黑猩猩
chimpanzee,[ˌtʃɪmpænˈziː],n.黑猩猩
China,[ˈtʃaɪnə],"n.中国,瓷器 (china)"
Chinese,[ˌtʃaɪˈniːz],n./a.中国（人）(的) 
chip,[tʃɪp],n.碎片.v.削成碎片
chipmunk,[ˈtʃɪpmʌŋk],n.[动] 花栗鼠
chisel,[ˈtʃɪzl],"n.凿子 
v.砍凿"
chitin,['kaɪtɪn],"n.壳质, 角素"
chivalry,[ˈʃɪvəlri],"n.骑士精神, 骑士制度"
chlorate,['klorɪt],n.[化]氯酸盐
chloride,[ˈklɔːraɪd],n.[化]氯化物
chlorine,[ˈklɔːriːn],n.[化]氯
chlorophyll,[ˈklɔːrəfɪl],n.[生化]叶绿素
chlorosis,[klə'rosɪs],"n.萎黄病, 变色病"
chocolate,[ˈtʃɔːklət],n.巧克力
choice,[tʃɔɪs],"n.选择,挑选"
chomp,[tʃɑːmp],"v.大声地咀嚼, 反复咀嚼 "
chondrite,"['kɑn,draɪt]",n.球粒状陨石
chondritic,,a.球粒状陨石的
chondrule,['kɑndrʊl],n.陨石球粒
choose,[tʃuːz],"v.选择,选定"
choosy,[ˈtʃuːzi],a.好挑剔的
chop,[tʃɑːp],"v.砍,劈,斩"
choppy,[ˈtʃɑːpi],"a.波浪起伏的, (风)不断改变方向的"
chord,[kɔːrd],"n.弦,和音"
choreographer,[ˌkɔːriˈɑːɡrəfər],"n.舞蹈指导,编舞者"
choreography,[ˌkɔːriˈɑːɡrəfi],"n.舞蹈术, 舞台舞蹈"
chorus,[ˈkɔːrəs],n.合唱(队)
christian,['krɪtʃən],"n./a.基督徒,基督教的"
chromosphere,"['kromə,sfɪr]",n.色球
chronic,[ˈkrɑːnɪk],"a.慢性的, 延续很长的"
chronicle,[ˈkrɑːnɪkl],n.编年史 .vt.编入编年史
chronobiology,"[,krɑnobaɪ'ɑlədʒi]","n.[生]时间生物学, 生物钟学"
chronological,[ˌkrɑːnəˈlɑːdʒɪkl],a.按年代顺序排列的
chronologically,[ˌkrɑːnəˈlɑːdʒɪkli],a.按年代的
chronology,[krəˈnɑːlədʒi],"n.年代学, 年表"
chug,[tʃʌɡ],n.轧轧响声.v.发出轧轧声.
chunk,[tʃʌŋk],"n.大块,相当大的部分(数量),矮胖的人或物"
church,[tʃɜːrtʃ],n.教堂
churn,[tʃɜːrn],"v.搅拌, 搅动,翻腾"
cider,[ˈsaɪdər],n.苹果酒
cigar,[sɪˈɡɑːr],n.雪茄
Cincinnati,[ˌsɪnsɪˈnæti],n.辛辛那提（美国俄亥俄州西南部城市）
cinema,[ˈsɪnəmə],"n.电影院,电影"
circadian,[sɜːrˈkeɪdiən],"a.昼夜节律的,生理节奏的"
circle,[ˈsɜːrkl],"n.圆(圈).v.围着,盘旋"
circuit,[ˈsɜːrkɪt],"n.电路,巡回"
circular,[ˈsɜːrkjələr],"a.圆形的, 循环的 "
circulate,[ˈsɜːrkjəleɪt],"v.(使)循环,传播"
circulation,[ˌsɜːrkjəˈleɪʃn],"n.循环,流通,发行额"
circulatory,[ˈsɜːrkjələtɔːri],"a.循环的, 循环系统的"
circumference,[sərˈkʌmfərəns],"n.圆周, 周围"
circumscribe,[ˈsɜːrkəmskraɪb],"vt.在…周围画线,限制"
circumstance,[ˈsɜːrkəmstæns],"n.环境,详情,[ pl.]境况"
circumstantially,,"ad.因情形地,  附随地"
circumvent,[ˌsɜːrkəmˈvent],"vt.绕行,设法避开,包围,陷害"
citadel,"[ˈsɪtədəl,ˈsɪtədel]","n.根据地, 大本营"
citation,[saɪˈteɪʃn],"n.引用,表扬"
cite,[saɪt],"vt.引用, 引证,传讯,想起,表彰"
cither,,n.齐特拉琴(古希腊一种类似竖琴的古乐器)
citizen,[ˈsɪtɪzn],"n.市民,公民"
citizenry,[ˈsɪtɪzənri],n.公民成市民(集合称)
citizenship,[ˈsɪtɪzənʃɪp],n.公民的身份
city,[ˈsɪti],n.城市
civet,[ˈsɪvɪt],n.[动物]麝猫
civic,[ˈsɪvɪk],"a.市的, 市民的"
civil,[ˈsɪvl],"a.公民的,文明的"
civilian,[səˈvɪliən],"n.平民,百姓"
civility,[səˈvɪləti],"n.礼貌, 端庄"
civilization,[ˌsɪvələˈzeɪʃn],"n.文明,文化"
claim,[kleɪm],"n./v.声称,要求,"
claimant,[ˈkleɪmənt],"n.要求者,申请者, 原告"
clam,[klæm],n.蛤
clamor,,n./v.喧闹
clan,[klæn],"n.氏族,部落"
clarification,[ˌklærəfɪˈkeɪʃn],"n.澄清, 净化"
clarify,[ˈklærəfaɪ],"v.澄清, 阐明"
clarity,[ˈklærəti],"n.清楚,透明,明晰"
class,[klæs],"n.阶级,班级,课"
classic,[ˈklæsɪk],"a.最优秀的,标准的.n.杰作"
classical,[ˈklæsɪkl],"a.古典的,正统派的"
classicism,[ˈklæsɪsɪzəm],"n.古典主义,古典风格"
classification,[ˌklæsɪfɪˈkeɪʃn],"n.分类, 分级"
classify,[ˈklæsɪfaɪ],"vt.分类,分等"
classroom,"[ˈklæsruːm,ˈklæsrʊm]",n.教室
clause,[klɔːz],"n.子句, 条款"
clavichord,[ˈklævɪkɔːrd],n.翼琴(钢琴的前身)
claw,[klɔː],n.(脚)爪
clay,[kleɪ],"n.黏土,泥土vt.用黏土处理"
clayware,,n.黏土制品
clean,[kliːn],"a.清洁的.v.打扫,使干净"
cleaner,[ˈkliːnər],"n.清洁工人, 清洁器"
cleanliness,[ˈklenlinəs],"n.洁癖, 清洁"
cleanly,[ˈkliːnli],"ad.干净地, 清洁地.a.爱清洁的"
clear,[klɪr],a./ad.清晰的(地).vt.清除.vi.变清澈
clearer,['klɪərə],a.更清楚的
clearing,[ˈklɪrɪŋ],"n.结算,空旷地.vi.澄清"
clement,[ˈklemənt],"a.仁慈的,温和的"
clench,[klentʃ],"vt.捏紧,紧紧握住"
clergy,[ˈklɜːrdʒi],"n.圣职者, 牧师"
clergyman,[ˈklɜːrdʒimən],"n.牧师, 教士"
clerk,[klɜːrk],"n.职员, 办事员"
clever,[ˈklevər],"a.机灵的, 聪明的"
cleverness,[ˈklevərnəs],"n.聪明, 机灵"
click,[klɪk],v.发出滴答声 
client,[ˈklaɪənt],"n.[计]顾客, 客户, 委托人"
cliff,[klɪf],"n.悬崖, 绝壁"
climate,[ˈklaɪmət],"n.气候,风气,气氛"
climatic,[klaɪˈmætɪk],"a.气候上的,由气候引起的"
climatically,,"ad.气候上, 风土上"
climax,[ˈklaɪmæks],"n.高潮,顶点"
climb,[klaɪm],"v.攀登, 爬 "
cling,[klɪŋ],"vi.紧贴, 附着"
clinical,[ˈklɪnɪkl],"a.临床的,诊所的"
clip,[klɪp],n.夹子.vt.夹住
clipper,[ˈklɪpər],"n.大剪刀, 快速帆船修剪者"
clock,[klɑːk],"n.时钟,计时器"
clockmaker,,n.制造或修理钟表者
clockwise,[ˈklɑːkwaɪz],ad.／.a.顺时针方向地(的)
close,[kloz],"v.关,(使)接近.a.近的.ad.接近地.n.结束"
closeness,[ˈkloʊsnəs],"n.紧闭, 狭窄,亲密"
closet,[ˈklɑːzɪt],"n.壁橱,储藏室
"
close-up,,"n.特写镜头,  细致的观察"
cloth,[klɔːθ],"n.布, 织物"
clothe,[kloʊð],"vt.给...穿衣,覆盖"
cloud,[klaʊd],n.云
cloudlike,,a.云雾状的
cloudy,[ˈklaʊdi],"a.多云的, 阴天的,混浊的"
clover,[ˈkloʊvər],n.[植]三叶草
club,[klʌb],"n.俱乐部,(扑克牌)梅花.vt.募集"
clue,[kluː],n.线索
clump,[klʌmp],"n.(树,草)丛.v.使成一丛"
clumsy,[ˈklʌmzi],"a.笨拙的,笨重的"
cluster,[ˈklʌstər],"n.串,丛 .vi.群集.vt.集中"
clutch,[klʌtʃ],"v.抓住, 攫住 .n.爪子"
coach,[koʊtʃ],"n.教练,长途公共汽车.vt.训练,指导"
coal,[koʊl],n.煤
coalescence,[ˌkoʊəˈlesns],"n.合并, 接合"
coal-fired,,a.烧煤的
coaming,[ˈkoʊmɪŋ],"n.舱口栏板, 边材"
coarse,[kɔːrs],"a.粗糙的,粗俗的"
coarse-grained,,"a.粗纹理的,粗颗粒的"
coast,[koʊst],"n.海岸,海滨"
coastal,[ˈkoʊstl],"a.海岸的,沿海的"
coastline,[ˈkoʊstlaɪn],n.海岸线
coat,[koʊt],"n.外套.vt.涂上,包上"
coating,[ˈkoʊtɪŋ],"n.被覆, 衣料"
coax,[koʊks],"vt.巧妙地（耐心地）处理,哄,诱骗"
cobalt,[ˈkoʊbɔːlt],n.[化]钴
cobble,[ˈkɑːbl],"n.圆石,鹅卵石.v.修补"
coconut,[ˈkoʊkənʌt],n.椰子
cod,[kɑːd],abbr.货到付款 (Cash on Delivery).n.鳕鱼
code,[koʊd],n.代码.vt.把…编码
codify,[ˈkɑːdɪfaɪ],"v.把…编成法典, 编纂"
coelenterate,[sɪ'lɛntəret],n.[动]腔肠动物.a.腔肠动物的
coerce,[koʊˈɜːrs],"vt.强制,威胁"
coexist,[ˌkoʊɪɡˈzɪst],"vi.共存,和平共处"
cognition,[kɑːɡˈnɪʃn],"n.认识,认知"
cognitive,[ˈkɑːɡnətɪv],"a.认知的,认识能力的"
coherence,[koʊˈhɪrəns],"n.一致,连贯"
cohesion,[koʊˈhiːʒn],"n.结合, 凝聚,内聚力"
cohesion-tension,,a.凝聚力的
cohesive,[koʊˈhiːsɪv],a.粘着的
cohesiveness,[koʊˈhiːsɪvnəs],"n.粘合, 凝聚性"
coil,[kɔɪl],"v.盘绕, 卷.n.线圈"
coin,[kɔɪn],"n.硬币.vt.铸造(硬币),创造(新词)"
coincide,[ˌkoʊɪnˈsaɪd],"vi.一致, 符合,同时发生"
coincidence,[koʊˈɪnsɪdəns],"n.一致, 同时发生或同时存在(尤指偶然)的事"
coincident,[koʊˈɪnsɪdənt],"a.一致的,符合的,巧合的"
cold,[koʊld],"a.(寒)冷的,不热情的.n.(寒)冷,感冒"
cold-blooded,,a.冷血的
cole,[kol],"n.油菜, 小菜"
collaboration,[kəˌlæbəˈreɪʃn],"n.合作,协作"
collaborative,,"a.合作的, 协作的"
collaborator,[kəˈlæbəreɪtər],"n.合作者,通敌者"
collagen,[ˈkɑːlədʒən],n.胶原质
collapse,[kəˈlæps],"v./n.倒塌, 崩溃"
collapsible,[kəˈlæpsəbl],"a.可折叠的,可拆卸的"
collarless,,"a.无领的,无马轭(或颈圈)的"
colleague,[ˈkɑːliːɡ],"n.同事, 同僚"
collect,[kəˈlekt],"v.收集,募捐"
collectible,[kə'lɛktəbl],"a.可收集的, 可代收的"
collection,[kəˈlekʃn],"n.收藏(品),募捐,征收"
collective,[kəˈlektɪv],"a.集体的,共同的.n.团体,集体"
collector,[kəˈlektər],"n.收藏家, 征收者"
college,[ˈkɑːlɪdʒ],"n.学院,大学"
collide,[kəˈlaɪd],"vi.碰撞,抵触,冲突"
collision,[kəˈlɪʒn],"n.碰撞,冲突"
colonel,[ˈkɜːrnl],"n.陆军上校, 团长"
colonial,[kəˈloʊniəl],a.殖民地的
colonist,[ˈkɑːlənɪst],"n.殖民地居民,殖民者"
colonization,[ˌkɑːlənəˈzeɪʃn],"n.殖民地化,殖民"
colonize,[ˈkɑːlənaɪz],"vt.拓殖,殖民"
colonizer,,"n.殖民者,殖民地开拓者, 移民"
colony,[ˈkɑːləni],n.殖民地
color,[ˈkʌlər],"n.颜色,肤色.vt.给…着(染)色"
colorless,[ˈkʌlərləs],"a.无色的, 无趣味的"
coloration,[ˌkʌləˈreɪʃn],"n.染色, 着色"
colorfully,,"a.华美的, 富有色彩的"
colossal,[kəˈlɑːsl],"a.巨大的,  <口>异常的"
colosseum,,n.罗马圆形大剧场
Columbia,[kə'lʌmbɪr],n.哥伦比亚
columbian,,"a.美国的, 美洲的,哥伦布的"
column,[ˈkɑːləm],"n.圆柱,专栏"
coma,[ˈkoʊmə],n.昏迷
combat,[ˈkɑːmbæt],"n.战斗,格斗 "
combination,[ˌkɑːmbɪˈneɪʃn],"n.结合,联合,合并"
combine,[kəmˈbaɪn],"v.联合,使结合 "
come,[kʌm],"v.来,到达"
comedy,[ˈkɑːmədi],n.喜剧
comer,[ˈkʌmər],"n.来者, 新来者,有成功希望的人"
comet,[ˈkɑːmɪt],n.彗星
comfort,[ˈkʌmfərt],n./v.安慰
comfortable,"[ˈkʌmftəbl,ˈkʌmfərtəbl]","a.舒适的,充裕的"
comfortably,"[ˈkʌmftəbli,ˈkʌmfərtəbli]",ad.舒适地
comic,[ˈkɑːmɪk],"n.滑稽演员.a.滑稽的, 喜剧的"
comical,[ˈkɑːmɪkl],"a.好笑的, 滑稽的"
command,[kəˈmænd],"n./v.命令,指挥,控制"
commandment,[kəˈmændmənt],"n.戒律,法令"
commemorate,[kəˈmeməreɪt],vt.纪念
commend,[kəˈmend],"v.称赞, 表扬, 推荐"
commensal,[kəˈmensl],"a.共餐的.n.共食伙伴, 共生物"
commensalism,[kəˈmensəlɪzəm],n.共栖
comment,[ˈkɑːment],"n.评论,意见.vt.评论"
commentary,[ˈkɑːmənteri],"n.注释, 解说词,评论"
commentator,[ˈkɑːmənteɪtər],"n.评论员, 解说员"
commerce,[ˈkɑːmɜːrs],"n.商业,贸易"
commercial,[kəˈmɜːrʃl],"a.商业的,贸易的,营利的"
commercialization,[kəˌmɜːrʃələˈzeɪʃn],n.商品化
commercialize,[kəˈmɜːrʃəlaɪz],v.使商业化
comminute,['kɒməˌnjuːt],"v.使成粉末,粉碎"
commission,[kəˈmɪʃn],"n.委员会.vt.委任,委托,佣金"
commissioner,[kəˈmɪʃənər],"n.委员, 专员"
commit,[kəˈmɪt],"v.犯罪, 承诺, 委托"
commitment,[kəˈmɪtmənt],"n.委托事项,许诺,献身"
committee,[kəˈmɪti],n.委员会
commodity,[kəˈmɑːdəti],n.日用品
common,[ˈkɑːmən],"a.平常的,共同的,公共的"
commonplace,[ˈkɑːmənpleɪs],n.寻常的事物adj. 平凡的
commonsense,['kɑmən'sɛns],"a.常识的,具有常识的,明白事理的"
communal,[kəˈmjuːnl],"a.公共的,集体的"
communally,,"ad.共同地, 社区地"
communicate,[kəˈmjuːnɪkeɪt],"v.沟通,通信,传达"
communication,[kəˌmjuːnɪˈkeɪʃn],"n.交流,通讯"
communicative,[kəˈmjuːnɪkeɪtɪv],"a.健谈的,交流的"
community,[kəˈmjuːnəti],"n.社区,社会,团体,群落"
commute,[kəˈmjuːt],"v.通勤, 折换.n.乘车上下班"
commuter,[kəˈmjuːtər],"n.通勤者, 每日往返上班者"
compact,"[kəmˈpækt,ˈkɑːmpækt]","vt.使坚实.n.契约.a.紧凑的,坚实的"
compaction,[kəm'pækʃən],"n.压紧,紧束之状态"
compactness,"[kəmˈpæktnəs,ˈkɑːmpæktnəs]","n.紧密, 简洁,小巧"
companion,[kəmˈpænjən],"n.同伴, 共事者"
companionship,[kəmˈpænjənʃɪp],"n.友谊,交谊,陪伴"
company,[ˈkʌmpəni],"n.公司n.陪伴,同伴(们)"
comparable,[ˈkɑːmpərəbl],"a.可比较的, 比得上的"
comparably,,"ad.同等地,可比较地"
comparative,[kəmˈpærətɪv],"a.比较的,相当的"
compare,[kəmˈper],"v.比较,对比,比喻.n.比较"
comparison,[kəmˈpærɪsn],"n.比较,对照,比喻"
compass,[ˈkʌmpəs],"n.罗盘,指南针"
compatible,[kəmˈpætəbl],"a.谐调的,兼容的"
compel,[kəmˈpel],"vt.强迫, 迫使"
compensate,[ˈkɑːmpenseɪt],"v.偿还, 补偿,抵消"
compensation,[ˌkɑːmpenˈseɪʃn],"n.补偿, 赔偿,报酬"
compensatory,[kəmˈpensətɔːri],"a.赔偿的, 补偿的"
compete,[kəmˈpiːt],"vi.竞争,比赛"
competence,[ˈkɑːmpɪtəns],"n.能力,胜任"
competition,[ˌkɑːmpəˈtɪʃn],"n.竞争,竞赛"
competitive,[kəmˈpetətɪv],a.竞争的
competitiveness,[kəmˈpetətɪvnəs],"n.竞争力,好竞争"
competitor,[kəmˈpetɪtər],"n.竞争者,对手"
compile,[kəmˈpaɪl],"vt.编译, 编辑"
complacence,[kəm'plesns],"n.自满,满意"
complain,[kəmˈpleɪn],"v.抱怨,控诉"
complaint,[kəmˈpleɪnt],"n.诉苦, 抱怨,控告"
complement,[ˈkɑmpləmənt],n.补足物
